rx_ts_sec,src_ip,src_port,apid_hex,type,seq,total_bytes,shf,sec_mode,sec_len,mic_state,mic_value,user_len,note
1761179345.650928,127.0.0.1,49482,0x0b3,TC,48,144,1,ns8,8,none,,130,
1761179345.653062,127.0.0.1,49482,0x07f,TM,48,70,1,fixed:8,8,none,,56,
1761179345.655228,127.0.0.1,49482,0x0b3,TC,49,144,1,ns8,8,none,,130,
1761179345.657357,127.0.0.1,49482,0x07f,TM,49,70,1,fixed:8,8,none,,56,
1761179345.659514,127.0.0.1,49482,0x0b3,TC,50,144,1,ns8,8,none,,130,
1761179345.661692,127.0.0.1,49482,0x07f,TM,50,70,1,fixed:8,8,none,,56,
1761179345.663935,127.0.0.1,49482,0x0b3,TC,51,144,1,ns8,8,none,,130,
1761179345.666052,127.0.0.1,49482,0x07f,TM,51,70,1,fixed:8,8,none,,56,
1761179345.668189,127.0.0.1,49482,0x0b3,TC,52,144,1,ns8,8,none,,130,
1761179345.670319,127.0.0.1,49482,0x07f,TM,52,70,1,fixed:8,8,none,,56,
1761179345.672450,127.0.0.1,49482,0x0b3,TC,53,144,1,ns8,8,none,,130,
1761179345.674541,127.0.0.1,49482,0x07f,TM,53,70,1,fixed:8,8,none,,56,
1761179345.676653,127.0.0.1,49482,0x0b3,TC,54,144,1,ns8,8,none,,130,
1761179345.678780,127.0.0.1,49482,0x07f,TM,54,70,1,fixed:8,8,none,,56,
1761179345.680924,127.0.0.1,49482,0x0b3,TC,55,144,1,ns8,8,none,,130,
1761179345.683091,127.0.0.1,49482,0x07f,TM,55,70,1,fixed:8,8,none,,56,
1761179345.685243,127.0.0.1,49482,0x0b3,TC,56,144,1,ns8,8,none,,130,
1761179345.687356,127.0.0.1,49482,0x07f,TM,56,70,1,fixed:8,8,none,,56,
1761179345.689491,127.0.0.1,49482,0x0b3,TC,57,144,1,ns8,8,none,,130,
1761179345.691603,127.0.0.1,49482,0x07f,TM,57,70,1,fixed:8,8,none,,56,
1761179345.693698,127.0.0.1,49482,0x0b3,TC,58,144,1,ns8,8,none,,130,
1761179345.695797,127.0.0.1,49482,0x07f,TM,58,70,1,fixed:8,8,none,,56,
1761179345.698014,127.0.0.1,49482,0x0b3,TC,59,144,1,ns8,8,none,,130,
1761179345.700114,127.0.0.1,49482,0x07f,TM,59,70,1,fixed:8,8,none,,56,
1761179345.702217,127.0.0.1,49482,0x0b3,TC,60,144,1,ns8,8,none,,130,
1761179345.704355,127.0.0.1,49482,0x07f,TM,60,70,1,fixed:8,8,none,,56,
1761179345.706472,127.0.0.1,49482,0x0b3,TC,61,144,1,ns8,8,none,,130,
1761179345.708587,127.0.0.1,49482,0x07f,TM,61,70,1,fixed:8,8,none,,56,
1761179345.710755,127.0.0.1,49482,0x0b3,TC,62,144,1,ns8,8,none,,130,
1761179345.712878,127.0.0.1,49482,0x07f,TM,62,70,1,fixed:8,8,none,,56,
1761179345.715074,127.0.0.1,49482,0x0b3,TC,63,144,1,ns8,8,none,,130,
1761179345.717129,127.0.0.1,49482,0x07f,TM,63,70,1,fixed:8,8,none,,56,
1761179345.719269,127.0.0.1,49482,0x0b3,TC,64,144,1,ns8,8,none,,130,
1761179345.721416,127.0.0.1,49482,0x07f,TM,64,70,1,fixed:8,8,none,,56,
1761179345.723552,127.0.0.1,49482,0x0b3,TC,65,144,1,ns8,8,none,,130,
1761179345.725683,127.0.0.1,49482,0x07f,TM,65,70,1,fixed:8,8,none,,56,
1761179345.727677,127.0.0.1,49482,0x0b3,TC,66,144,1,ns8,8,none,,130,
1761179345.729774,127.0.0.1,49482,0x07f,TM,66,70,1,fixed:8,8,none,,56,
1761179345.731895,127.0.0.1,49482,0x0b3,TC,67,144,1,ns8,8,none,,130,
1761179345.733972,127.0.0.1,49482,0x07f,TM,67,70,1,fixed:8,8,none,,56,
1761179345.736050,127.0.0.1,49482,0x0b3,TC,68,144,1,ns8,8,none,,130,
1761179345.738168,127.0.0.1,49482,0x07f,TM,68,70,1,fixed:8,8,none,,56,
1761179345.740322,127.0.0.1,49482,0x0b3,TC,69,144,1,ns8,8,none,,130,
1761179345.742458,127.0.0.1,49482,0x07f,TM,69,70,1,fixed:8,8,none,,56,
1761179345.744604,127.0.0.1,49482,0x0b3,TC,70,144,1,ns8,8,none,,130,
1761179345.746734,127.0.0.1,49482,0x07f,TM,70,70,1,fixed:8,8,none,,56,
1761179345.748863,127.0.0.1,49482,0x0b3,TC,71,144,1,ns8,8,none,,130,
1761179345.750907,127.0.0.1,49482,0x07f,TM,71,70,1,fixed:8,8,none,,56,
1761179345.753013,127.0.0.1,49482,0x0b3,TC,72,144,1,ns8,8,none,,130,
1761179345.755139,127.0.0.1,49482,0x07f,TM,72,70,1,fixed:8,8,none,,56,
1761179345.757226,127.0.0.1,49482,0x0b3,TC,73,144,1,ns8,8,none,,130,
1761179345.759352,127.0.0.1,49482,0x07f,TM,73,70,1,fixed:8,8,none,,56,
1761179345.761504,127.0.0.1,49482,0x0b3,TC,74,144,1,ns8,8,none,,130,
1761179345.763607,127.0.0.1,49482,0x07f,TM,74,70,1,fixed:8,8,none,,56,
1761179345.765736,127.0.0.1,49482,0x0b3,TC,75,144,1,ns8,8,none,,130,
1761179345.767855,127.0.0.1,49482,0x07f,TM,75,70,1,fixed:8,8,none,,56,
1761179345.769906,127.0.0.1,49482,0x0b3,TC,76,144,1,ns8,8,none,,130,
1761179345.772074,127.0.0.1,49482,0x07f,TM,76,70,1,fixed:8,8,none,,56,
1761179345.774190,127.0.0.1,49482,0x0b3,TC,77,144,1,ns8,8,none,,130,
1761179345.776318,127.0.0.1,49482,0x07f,TM,77,70,1,fixed:8,8,none,,56,
1761179345.778418,127.0.0.1,49482,0x0b3,TC,78,144,1,ns8,8,none,,130,
1761179345.780737,127.0.0.1,49482,0x07f,TM,78,70,1,fixed:8,8,none,,56,
1761179345.782923,127.0.0.1,49482,0x0b3,TC,79,144,1,ns8,8,none,,130,
1761179345.785004,127.0.0.1,49482,0x07f,TM,79,70,1,fixed:8,8,none,,56,
1761179345.787098,127.0.0.1,49482,0x0b3,TC,80,144,1,ns8,8,none,,130,
1761179345.789228,127.0.0.1,49482,0x07f,TM,80,70,1,fixed:8,8,none,,56,
1761179345.791353,127.0.0.1,49482,0x0b3,TC,81,144,1,ns8,8,none,,130,
1761179345.793451,127.0.0.1,49482,0x07f,TM,81,70,1,fixed:8,8,none,,56,
1761179345.795705,127.0.0.1,49482,0x0b3,TC,82,144,1,ns8,8,none,,130,
1761179345.797918,127.0.0.1,49482,0x07f,TM,82,70,1,fixed:8,8,none,,56,
1761179345.800003,127.0.0.1,49482,0x0b3,TC,83,144,1,ns8,8,none,,130,
1761179345.802123,127.0.0.1,49482,0x07f,TM,83,70,1,fixed:8,8,none,,56,
1761179345.804223,127.0.0.1,49482,0x0b3,TC,84,144,1,ns8,8,none,,130,
1761179345.806333,127.0.0.1,49482,0x07f,TM,84,70,1,fixed:8,8,none,,56,
1761179345.808454,127.0.0.1,49482,0x0b3,TC,85,144,1,ns8,8,none,,130,
1761179345.810580,127.0.0.1,49482,0x07f,TM,85,70,1,fixed:8,8,none,,56,
1761179345.812697,127.0.0.1,49482,0x0b3,TC,86,144,1,ns8,8,none,,130,
1761179345.814828,127.0.0.1,49482,0x07f,TM,86,70,1,fixed:8,8,none,,56,
1761179345.816935,127.0.0.1,49482,0x0b3,TC,87,144,1,ns8,8,none,,130,
1761179345.819024,127.0.0.1,49482,0x07f,TM,87,70,1,fixed:8,8,none,,56,
1761179345.821132,127.0.0.1,49482,0x0b3,TC,88,144,1,ns8,8,none,,130,
1761179345.823368,127.0.0.1,49482,0x07f,TM,88,70,1,fixed:8,8,none,,56,
1761179345.825491,127.0.0.1,49482,0x0b3,TC,89,144,1,ns8,8,none,,130,
1761179345.827580,127.0.0.1,49482,0x07f,TM,89,70,1,fixed:8,8,none,,56,
1761179345.829803,127.0.0.1,49482,0x0b3,TC,90,144,1,ns8,8,none,,130,
1761179345.831899,127.0.0.1,49482,0x07f,TM,90,70,1,fixed:8,8,none,,56,
1761179345.834040,127.0.0.1,49482,0x0b3,TC,91,144,1,ns8,8,none,,130,
1761179345.836061,127.0.0.1,49482,0x07f,TM,91,70,1,fixed:8,8,none,,56,
1761179345.838169,127.0.0.1,49482,0x0b3,TC,92,144,1,ns8,8,none,,130,
1761179345.840273,127.0.0.1,49482,0x07f,TM,92,70,1,fixed:8,8,none,,56,
1761179345.842403,127.0.0.1,49482,0x0b3,TC,93,144,1,ns8,8,none,,130,
1761179345.844643,127.0.0.1,49482,0x07f,TM,93,70,1,fixed:8,8,none,,56,
1761179345.846776,127.0.0.1,49482,0x0b3,TC,94,144,1,ns8,8,none,,130,
1761179345.848785,127.0.0.1,49482,0x07f,TM,94,70,1,fixed:8,8,none,,56,
1761179345.850939,127.0.0.1,49482,0x0b3,TC,95,144,1,ns8,8,none,,130,
1761179345.853015,127.0.0.1,49482,0x07f,TM,95,70,1,fixed:8,8,none,,56,
1761179345.855098,127.0.0.1,49482,0x0b3,TC,96,144,1,ns8,8,none,,130,
1761179345.857487,127.0.0.1,49482,0x07f,TM,96,70,1,fixed:8,8,none,,56,
1761179345.859758,127.0.0.1,49482,0x0b3,TC,97,144,1,ns8,8,none,,130,
1761179345.862190,127.0.0.1,49482,0x07f,TM,97,70,1,fixed:8,8,none,,56,
1761179345.864340,127.0.0.1,49482,0x0b3,TC,98,144,1,ns8,8,none,,130,
1761179345.866528,127.0.0.1,49482,0x07f,TM,98,70,1,fixed:8,8,none,,56,
1761179345.868680,127.0.0.1,49482,0x0b3,TC,99,144,1,ns8,8,none,,130,
1761179345.870830,127.0.0.1,49482,0x07f,TM,99,70,1,fixed:8,8,none,,56,
1761179345.872934,127.0.0.1,49482,0x0b3,TC,100,144,1,ns8,8,none,,130,
1761179345.875020,127.0.0.1,49482,0x07f,TM,100,70,1,fixed:8,8,none,,56,
1761179345.877143,127.0.0.1,49482,0x0b3,TC,101,144,1,ns8,8,none,,130,
1761179345.879262,127.0.0.1,49482,0x07f,TM,101,70,1,fixed:8,8,none,,56,
1761179345.881401,127.0.0.1,49482,0x0b3,TC,102,144,1,ns8,8,none,,130,
1761179345.883530,127.0.0.1,49482,0x07f,TM,102,70,1,fixed:8,8,none,,56,
1761179345.885670,127.0.0.1,49482,0x0b3,TC,103,144,1,ns8,8,none,,130,
1761179345.887780,127.0.0.1,49482,0x07f,TM,103,70,1,fixed:8,8,none,,56,
1761179345.889917,127.0.0.1,49482,0x0b3,TC,104,144,1,ns8,8,none,,130,
1761179345.892058,127.0.0.1,49482,0x07f,TM,104,70,1,fixed:8,8,none,,56,
1761179345.894193,127.0.0.1,49482,0x0b3,TC,105,144,1,ns8,8,none,,130,
1761179345.896329,127.0.0.1,49482,0x07f,TM,105,70,1,fixed:8,8,none,,56,
1761179345.898422,127.0.0.1,49482,0x0b3,TC,106,144,1,ns8,8,none,,130,
1761179345.900618,127.0.0.1,49482,0x07f,TM,106,70,1,fixed:8,8,none,,56,
1761179345.902747,127.0.0.1,49482,0x0b3,TC,107,144,1,ns8,8,none,,130,
1761179345.904918,127.0.0.1,49482,0x07f,TM,107,70,1,fixed:8,8,none,,56,
1761179345.906990,127.0.0.1,49482,0x0b3,TC,108,144,1,ns8,8,none,,130,
1761179345.909224,127.0.0.1,49482,0x07f,TM,108,70,1,fixed:8,8,none,,56,
1761179345.911347,127.0.0.1,49482,0x0b3,TC,109,144,1,ns8,8,none,,130,
1761179345.913637,127.0.0.1,49482,0x07f,TM,109,70,1,fixed:8,8,none,,56,
1761179345.915696,127.0.0.1,49482,0x0b3,TC,110,144,1,ns8,8,none,,130,
1761179345.917804,127.0.0.1,49482,0x07f,TM,110,70,1,fixed:8,8,none,,56,
1761179345.919902,127.0.0.1,49482,0x0b3,TC,111,144,1,ns8,8,none,,130,
1761179345.922011,127.0.0.1,49482,0x07f,TM,111,70,1,fixed:8,8,none,,56,
1761179345.924094,127.0.0.1,49482,0x0b3,TC,112,144,1,ns8,8,none,,130,
1761179345.926237,127.0.0.1,49482,0x07f,TM,112,70,1,fixed:8,8,none,,56,
1761179345.928396,127.0.0.1,49482,0x0b3,TC,113,144,1,ns8,8,none,,130,
1761179345.930617,127.0.0.1,49482,0x07f,TM,113,70,1,fixed:8,8,none,,56,
1761179345.932810,127.0.0.1,49482,0x0b3,TC,114,144,1,ns8,8,none,,130,
1761179345.934961,127.0.0.1,49482,0x07f,TM,114,70,1,fixed:8,8,none,,56,
1761179345.937042,127.0.0.1,49482,0x0b3,TC,115,144,1,ns8,8,none,,130,
1761179345.939179,127.0.0.1,49482,0x07f,TM,115,70,1,fixed:8,8,none,,56,
1761179345.941240,127.0.0.1,49482,0x0b3,TC,116,144,1,ns8,8,none,,130,
1761179345.943376,127.0.0.1,49482,0x07f,TM,116,70,1,fixed:8,8,none,,56,
1761179345.945499,127.0.0.1,49482,0x0b3,TC,117,144,1,ns8,8,none,,130,
1761179345.947703,127.0.0.1,49482,0x07f,TM,117,70,1,fixed:8,8,none,,56,
1761179345.949847,127.0.0.1,49482,0x0b3,TC,118,144,1,ns8,8,none,,130,
1761179345.951949,127.0.0.1,49482,0x07f,TM,118,70,1,fixed:8,8,none,,56,
1761179345.954047,127.0.0.1,49482,0x0b3,TC,119,144,1,ns8,8,none,,130,
1761179345.956323,127.0.0.1,49482,0x07f,TM,119,70,1,fixed:8,8,none,,56,
1761179345.958492,127.0.0.1,49482,0x0b3,TC,120,144,1,ns8,8,none,,130,
1761179345.960649,127.0.0.1,49482,0x07f,TM,120,70,1,fixed:8,8,none,,56,
1761179345.962798,127.0.0.1,49482,0x0b3,TC,121,144,1,ns8,8,none,,130,
1761179345.964925,127.0.0.1,49482,0x07f,TM,121,70,1,fixed:8,8,none,,56,
1761179345.967022,127.0.0.1,49482,0x0b3,TC,122,144,1,ns8,8,none,,130,
1761179345.969155,127.0.0.1,49482,0x07f,TM,122,70,1,fixed:8,8,none,,56,
1761179345.971285,127.0.0.1,49482,0x0b3,TC,123,144,1,ns8,8,none,,130,
1761179345.973430,127.0.0.1,49482,0x07f,TM,123,70,1,fixed:8,8,none,,56,
1761179345.975609,127.0.0.1,49482,0x0b3,TC,124,144,1,ns8,8,none,,130,
1761179345.977794,127.0.0.1,49482,0x07f,TM,124,70,1,fixed:8,8,none,,56,
1761179345.979932,127.0.0.1,49482,0x0b3,TC,125,144,1,ns8,8,none,,130,
1761179345.982005,127.0.0.1,49482,0x07f,TM,125,70,1,fixed:8,8,none,,56,
1761179345.984089,127.0.0.1,49482,0x0b3,TC,126,144,1,ns8,8,none,,130,
1761179345.986178,127.0.0.1,49482,0x07f,TM,126,70,1,fixed:8,8,none,,56,
1761179345.988531,127.0.0.1,49482,0x0b3,TC,127,144,1,ns8,8,none,,130,
1761179345.990623,127.0.0.1,49482,0x07f,TM,127,70,1,fixed:8,8,none,,56,
1761179345.992736,127.0.0.1,49482,0x0b3,TC,128,144,1,ns8,8,none,,130,
1761179345.994860,127.0.0.1,49482,0x07f,TM,128,70,1,fixed:8,8,none,,56,
1761179345.996927,127.0.0.1,49482,0x0b3,TC,129,144,1,ns8,8,none,,130,
1761179345.999016,127.0.0.1,49482,0x07f,TM,129,70,1,fixed:8,8,none,,56,
1761179346.001094,127.0.0.1,49482,0x0b3,TC,130,144,1,ns8,8,none,,130,
1761179346.003196,127.0.0.1,49482,0x07f,TM,130,70,1,fixed:8,8,none,,56,
1761179346.005314,127.0.0.1,49482,0x0b3,TC,131,144,1,ns8,8,none,,130,
1761179346.007424,127.0.0.1,49482,0x07f,TM,131,70,1,fixed:8,8,none,,56,
1761179346.009540,127.0.0.1,49482,0x0b3,TC,132,144,1,ns8,8,none,,130,
1761179346.011674,127.0.0.1,49482,0x07f,TM,132,70,1,fixed:8,8,none,,56,
1761179346.013786,127.0.0.1,49482,0x0b3,TC,133,144,1,ns8,8,none,,130,
1761179346.015959,127.0.0.1,49482,0x07f,TM,133,70,1,fixed:8,8,none,,56,
1761179346.018035,127.0.0.1,49482,0x0b3,TC,134,144,1,ns8,8,none,,130,
1761179346.020117,127.0.0.1,49482,0x07f,TM,134,70,1,fixed:8,8,none,,56,
1761179346.022179,127.0.0.1,49482,0x0b3,TC,135,144,1,ns8,8,none,,130,
1761179346.024318,127.0.0.1,49482,0x07f,TM,135,70,1,fixed:8,8,none,,56,
1761179346.026418,127.0.0.1,49482,0x0b3,TC,136,144,1,ns8,8,none,,130,
1761179346.028537,127.0.0.1,49482,0x07f,TM,136,70,1,fixed:8,8,none,,56,
1761179346.030632,127.0.0.1,49482,0x0b3,TC,137,144,1,ns8,8,none,,130,
